,Sentence,Tags,Extracted Sentences,Extracted Tags
83,Today I just landed in Milan and the travel and change in food is making my stomach and poop go for a toss,diarrhea,"['travel and change in food', 'milan', 'food']","{'appetite change': 0.5606978535652161, 'hiccups': 0.20046471059322357, 'mood change': 0.10654647648334503, 'poor coordination': 0.10146032273769379}"
130,"I have a bad smell in my nose, bad taste in my mouth, head pressure and lost voice.","headache, sore throat","['bad taste in my mouth, head pressure and lost voice.', 'bad smell', 'head pressure and lost voice.', 'lost voice.', 'bad smell in my nose,']","{'headache': 0.4481704831123352, 'body pain': 0.4292280077934265, 'hiccups': 0.26107218861579895, 'mood change': 0.181634321808815, 'congestion': 0.15948326885700226, 'sore throat': 0.15830102562904358, 'lack of concentration': 0.12788733839988708, 'cough': 0.1171787902712822, 'poor coordination': 0.10978298634290695}"
9,"I'm susceptible to stomach flu and I've been vomitting profusely and
repeatedly for 2 or 3 days and can't keep anything down. Once my stomach is empty, I try water or ginger ale, so I will have something to throw up, as that is the only relief",vomiting,"['once my stomach is empty, i try water or ginger ale,', 'profusely', 'vomitting', 'vomitting profusely', ""i'm susceptible to stomach flu"", 'susceptible to stomach flu', 'stomach flu', 'once my stomach is empty,']","{'body pain': 0.7819966673851013, 'vomiting': 0.7774074673652649, 'appetite change': 0.538105309009552, 'bleeding': 0.20134350657463074}"
391,during lunch lily suddenly became faint. She was unresponsive and her pupils were dilated. My wife chucked cold water on her and thankfully that snapped her out of it but it was so scary,"dilated pupils, lack of concentration","['she was unresponsive', 'faint.', 'during lunch', 'lily suddenly became faint.', 'her pupils were dilated.', 'she was unresponsive and her pupils were dilated.']","{'dilated pupils': 0.8486431837081909, 'fatigue': 0.3575088381767273, 'poor coordination': 0.25567731261253357, 'appetite change': 0.25333189964294434, 'mood change': 0.24459221959114075, 'lack of concentration': 0.23424506187438965, 'hiccups': 0.17255589365959167, 'dizziness': 0.12789739668369293}"
134,"My cough comes for two days, then goes away, and this has been going on for over a year. I have green mucus also","cough, congestion","['i have green mucus', 'my cough comes for two days,', 'my cough comes for two days, then goes away,', 'green mucus', 'cough']","{'cough': 0.6410636305809021, 'sore throat': 0.3291712999343872, 'hiccups': 0.2536303997039795, 'congestion': 0.24210110306739807, 'bleeding': 0.1020372286438942}"
109," I was informed that an ex-colleague of mine will become one of my colleagues again.
She really hurt me in the past and now she follows me to my new work. I can’t get a grasp of why I can’t stand her, but what i do know for sure is that just the thought of her stresses me out, makes me anxious and I don’t want her in my life",anxiety,"['just the thought of her stresses me out,', 'anxious', 'i can’t get a grasp of why i can’t stand her,', 'she really hurt me in the past', 'an ex-colleague of mine will become one of my colleagues again.']","{'anxiety': 0.5541774034500122, 'appetite change': 0.25231364369392395, 'racing heart': 0.19959992170333862, 'mood change': 0.1940200924873352, 'hiccups': 0.10863464325666428, 'poor coordination': 0.10706552863121033}"
40,The fever isnt going down its still 101 and I feel so shitty,fever,"['fever', 'the fever isnt going down its still 101 and i feel so shitty', 'the fever isnt going down its still 101', 'the fever']","{'fever': 0.688112735748291, 'racing heart': 0.3747643530368805, 'body pain': 0.3269640803337097, 'mood change': 0.15974535048007965}"
115,I have sinus headache behind the right eye and I need relief,headache,"['sinus headache behind the right eye', 'sinus headache behind the right eye and i need relief', 'behind the right eye', 'sinus headache']","{'headache': 0.7668997645378113, 'dilated pupils': 0.4235091507434845, 'body pain': 0.3322109878063202}"
172,lily seemed really stressed out today after she came back from playing with one of her friends. Im scared the friend is bullying her,anxiety,"['lily seemed really stressed out today', 'lily', 'stressed out today after she came back from playing with one of her friends.']","{'mood change': 0.3772887587547302, 'dilated pupils': 0.28277361392974854, 'anxiety': 0.10521049052476883, 'hiccups': 0.10224193334579468}"
335,charlies rashes have been getting worse every day this week. I need to take him to the doctor tomorrow,skin rash,"['charlies', 'charlies rashes have been getting worse', 'charlies rashes']","{'skin rash': 0.5675714015960693, 'dilated pupils': 0.30801790952682495, 'body pain': 0.2280413657426834, 'mood change': 0.10732024163007736}"
124,I am having pain in my ear and my neck and I think it’s a sinus infection but I don’t know,body pain,"['in my ear and my neck', 'pain in my ear and my neck', 'pain in my ear']","{'body pain': 0.7308656573295593, 'headache': 0.49862435460090637, 'bleeding': 0.2644467055797577, 'sore throat': 0.13195590674877167}"
458,"Things were going so well but then they started having moderate and then severe headaches about half way through the day. We started to get ready for a seizure event after the first headaches started but it wouldn't be for another hour or so until they started really developing severe headaches that the seizures would start. We called the doctor and were advised to increase the dosage of the pain medicine so we did that and it seemed to work after a while, but the poor kid still had some seizures.",headache,"['moderate and then severe headaches', 'they started having moderate and then severe headaches about half way through the day.', 'moderate and then severe headaches about half way through the day.', 'the poor kid still had some seizures.']","{'headache': 0.756263792514801, 'dilated pupils': 0.2718236446380615, 'poor coordination': 0.18518304824829102, 'body pain': 0.17195679247379303}"
297,im really worried about laura because shes hardly been sleeping the last few nights. Im praying this doesn’t trigger a seizure,lack of sleep,"['laura because shes hardly been sleeping the last few nights.', 'shes hardly been sleeping', 'laura', 'this doesn’t trigger a seizure', 'shes hardly been sleeping the last few nights.', 'seizure']","{'lack of sleep': 0.7935951948165894, 'mood change': 0.15175998210906982, 'hiccups': 0.1500500589609146, 'dilated pupils': 0.1435837745666504, 'fatigue': 0.12313094735145569, 'fever': 0.11395452916622162, 'poor coordination': 0.1116546168923378}"
402,It's been a really rough day. They were more fatigued than usual and because of that it was hard to get them to cooperate in the littlest of things. I've never seem them so tired before.,fatigue,['they were more fatigued'],{'fatigue': 0.5580922961235046}
167,eric seems unusually stressed out this evening - its probably because were travelling tomorrow and planes scare him,anxiety,"['planes scare him', 'planes', 'eric seems unusually stressed out this evening - its probably because were travelling tomorrow', 'were travelling tomorrow', 'eric']","{'anxiety': 0.5492690205574036, 'mood change': 0.27297672629356384, 'racing heart': 0.18639586865901947, 'dilated pupils': 0.12120240926742554, 'poor coordination': 0.11359371989965439}"
136,My right eye hurts like someone is inside trying to push it out. I'm fatigued and my eye is swollen,"fatigue, body pain","['my eye is swollen', 'fatigued']","{'fatigue': 0.4259856343269348, 'dilated pupils': 0.4104868173599243, 'bleeding': 0.13739687204360962, 'body pain': 0.12270611524581909}"
267,"frank seemed a bit out of it and actually tripped a couple of hours ago. Im not sure if he was dizzy or light headed, he didn’t speak much when I asked",dizziness,"['tripped a couple of hours ago.', 'he didn’t speak much', 'frank seemed a bit out of it and actually tripped a couple of hours', 'frank seemed a bit out of it', 'actually tripped a couple of hours ago.', 'dizzy or light headed,', 'frank']","{'dizziness': 0.7420560121536255, 'poor coordination': 0.37507185339927673, 'lack of concentration': 0.3645893335342407, 'hiccups': 0.3434324860572815, 'cough': 0.2207551747560501, 'mood change': 0.17461256682872772, 'fatigue': 0.11596435308456421, 'fever': 0.11439145356416702}"
326,charlies been itching himself all day. He might be allergic to the pollen,skin rash,"['pollen', 'charlies been itching himself all day.', 'he might be allergic to the pollen']","{'racing heart': 0.30174875259399414, 'body pain': 0.14671549201011658, 'mood change': 0.14047914743423462, 'lack of concentration': 0.12971451878547668, 'cough': 0.1067921593785286}"
250,my medications are making it hard to fall asleep. I feel groggy during the day and its gross,lack of sleep,"['my medications are making it hard to fall asleep.', 'my medications are making it hard to fall asleep. i feel groggy', 'medications', 'medications are making it hard to fall asleep.', 'groggy', 'medications are making it hard to fall asleep. i feel groggy']","{'fatigue': 0.26016339659690857, 'lack of concentration': 0.19660969078540802, 'lack of sleep': 0.1769532561302185, 'dizziness': 0.14050625264644623, 'dilated pupils': 0.13064149022102356, 'mood change': 0.11290603131055832}"
169,I don’t know how to maintain my stress and anxiety. This morning i was so stressed I couldn’t focus or do any work at all,"anxiety, lack of concentration","['this morning i was so stressed', 'stress and anxiety.', 'stressed']","{'anxiety': 0.5475038886070251, 'mood change': 0.4472828507423401, 'fatigue': 0.3808659017086029}"
154,My stomach has a lot of gas in it today so I keep going to the bathroom and experiencing cramps,body pain,"['my stomach has a lot of gas in it', 'my stomach has a lot of gas in it today', 'cramps']","{'body pain': 0.44769853353500366, 'headache': 0.1631525307893753, 'congestion': 0.155989408493042, 'appetite change': 0.12800244987010956}"
117,"I have dry mouth and lots of other complications, like metallic taste in mouth",,"['metallic taste', 'dry mouth and lots of other complications, like metallic taste', 'dry mouth']","{'hiccups': 0.32443106174468994, 'appetite change': 0.21120348572731018, 'dilated pupils': 0.12169218808412552, 'poor coordination': 0.11152828484773636, 'sore throat': 0.10375198721885681}"
318,I got stress induced palpitations again today. I need to find a way to relax,racing heart,"['stress induced palpitations', 'stress induced palpitations again today.']",{'racing heart': 0.8288513422012329}
279,rihanna said her throat was feeling funny so I gave her some hot water to gargle from,sore throat,"['her throat was feeling funny so i gave her some hot water', 'her throat was feeling funny', 'i gave her some hot water', 'rihanna', 'her throat']","{'sore throat': 0.6583920121192932, 'mood change': 0.21035876870155334, 'body pain': 0.16211311519145966, 'racing heart': 0.1294582039117813, 'fever': 0.11382336914539337, 'hiccups': 0.10518816858530045}"
213,"when we tried to take eric to school today he became so nervous - his chest got all tight and his palms were sweaty
",mood change,"['his chest got all tight', 'nervous', 'his chest got all tight and his palms were sweaty']","{'racing heart': 0.7031156420707703, 'anxiety': 0.5025659203529358, 'mood change': 0.24822349846363068, 'body pain': 0.12280256301164627}"
321,Lily has hardly slept for the last two nights ,lack of sleep,"['lily has hardly slept', 'lily has hardly slept for the last two nights', 'lily', 'hardly slept']","{'lack of sleep': 0.6274359822273254, 'dilated pupils': 0.28277361392974854, 'mood change': 0.18702106177806854, 'fatigue': 0.14572836458683014}"
88,"I tried to go exercise today but I couldn’t, I just had no energy and it makes me sad",fatigue,['no energy'],"{'fatigue': 0.23462024331092834, 'mood change': 0.10769355297088623, 'hiccups': 0.10219934582710266}"
32,My wife is suffering from fever for the past 12 days. The maximum temperature goes to 103 F. And she is suffering from cold and cough also. I don’t what the reason could be.,"fever, cough","['fever', 'she is suffering from cold', 'cold and cough', 'the maximum temperature goes to 103 f.', 'my wife is suffering from fever for the past 12 days.', 'i don’t what the reason could be.', 'she is suffering from cold and cough', 'she is suffering from cold and cough also.']","{'fever': 0.5392211079597473, 'sore throat': 0.4281344413757324, 'cough': 0.37647759914398193, 'hiccups': 0.26600342988967896, 'racing heart': 0.24538499116897583, 'body pain': 0.23954357206821442, 'congestion': 0.1432681679725647, 'dilated pupils': 0.11739218235015869}"
135,"With a sinus infection my cheek bones hurt causing my teeth to hurt when I bite down. My eyes are dry but no puffiness, there's a ringing in my ears,
and I can feel my heart throbbing in my ears",body pain,"['ringing in my ears,', 'my cheek bones hurt', 'my eyes are dry', 'my eyes are dry but no puffiness,', 'i can feel my heart throbbing in my ears', 'ringing', 'no puffiness,', 'my cheek bones hurt causing my teeth to hurt when i bite down.']","{'body pain': 0.7559558153152466, 'racing heart': 0.5850356817245483, 'dilated pupils': 0.3870474398136139, 'lack of concentration': 0.22369271516799927, 'hiccups': 0.19896666705608368, 'headache': 0.1340510994195938, 'fatigue': 0.1180204302072525, 'mood change': 0.1175045371055603}"
225,I woke up to crushing chest pain and it felt like an elephant was sitting in my chest,body pain,"['an elephant', 'crushing chest pain']","{'body pain': 0.5810793042182922, 'congestion': 0.20412586629390717, 'mood change': 0.18733708560466766, 'dilated pupils': 0.17940065264701843, 'racing heart': 0.13461008667945862, 'lack of concentration': 0.12142494320869446}"
295,lauras head is really hot Im almost certain she has a fever,fever,"['fever', 'a fever', 'she has a fever', 'lauras head is really hot im almost certain she has a fever', 'lauras head is really hot']","{'fever': 0.5146238803863525, 'racing heart': 0.3240244686603546, 'mood change': 0.19581390917301178, 'body pain': 0.12022266536951065, 'dilated pupils': 0.112155981361866, 'headache': 0.10747750103473663}"
281,"lilys head feels heavy, her chest is congested and her throat is starting to itch","headache, sore throat","['her chest is congested', 'lilys head feels heavy, her chest is congested']","{'congestion': 0.5604122281074524, 'body pain': 0.22268305718898773, 'sore throat': 0.11876650899648666, 'headache': 0.11802836507558823, 'hiccups': 0.11240410804748535}"
138,"I had extremely painful pressure in the top of my head, and on both temples",headache,"['extremely painful pressure', 'extremely painful pressure in the top of my head,']","{'headache': 0.7304537296295166, 'body pain': 0.23590080440044403, 'congestion': 0.1190744936466217}"
84,"My stomach feels so uneasy, I went to the bathroom 5 times today and my poop is all runny",diarrhea,"['my poop is all runny', '5 times today', 'my poop', 'my stomach', 'my stomach feels so uneasy,', 'my stomach feels so uneasy, i went to the bathroom 5 times today']","{'body pain': 0.6494494676589966, 'congestion': 0.3943731188774109, 'anxiety': 0.24977555871009827, 'diarrhea': 0.21892237663269043, 'appetite change': 0.18080471456050873, 'dilated pupils': 0.13250745832920074, 'hiccups': 0.12449976801872253, 'poor coordination': 0.11526964604854584, 'mood change': 0.11075017601251602}"
253,I didn’t sleep much last night so I feel a bit shitty,lack of sleep,"['didn’t sleep much last night', 'didn’t sleep much last night so i feel a bit shitty', 'shitty', 'a bit shitty']","{'lack of sleep': 0.5983888506889343, 'hiccups': 0.5344837307929993, 'fatigue': 0.167988583445549, 'cough': 0.1432827115058899}"
355,a piano stool fell on lisas toe and now she has a blood clot over there,bleeding,"['a piano stool fell on lisas toe', 'blood clot']","{'bleeding': 0.867751955986023, 'poor coordination': 0.19735482335090637, 'body pain': 0.17810319364070892}"
351,"we were driving to school earlier today when charlies nose started to bleed in the car. It was really stressful because we didn’t have any tissues on us. I just stopped at the nearest store for tissues and
we eventually got it under control",bleeding,"['it was really stressful because we didn’t have any tissues on us.', 'charlies nose', 'we didn’t have any tissues on us.', 'we eventually got it under control', 'charlies nose started to bleed', 'charlies nose started to bleed in the car.']","{'bleeding': 0.8732254505157471, 'hiccups': 0.4222104549407959, 'poor coordination': 0.145002543926239, 'dilated pupils': 0.1434684842824936, 'mood change': 0.1177271157503128}"
29,"My temperature spikes up to 99.8 from my normal 97.8 midday. I feel dizzy with fever but then it passes, no shivers, just hot.","fever, dizziness","['no shivers, just hot.', 'fever', 'dizzy', 'no shivers,']","{'racing heart': 0.5039793252944946, 'fever': 0.4019060730934143, 'dizziness': 0.3338378667831421, 'hiccups': 0.20009544491767883, 'poor coordination': 0.17484834790229797, 'mood change': 0.16812331974506378, 'lack of concentration': 0.14485317468643188, 'dilated pupils': 0.10905283689498901}"
333,tom got some mosquito bites this evening and hes been itchy ever since. I want apply some cream to ensure it doesn’t get infected,skin rash,"['hes been itchy', 'itchy', 'tom got some mosquito bites', 'mosquito bites']","{'hiccups': 0.41620755195617676, 'skin rash': 0.3968013525009155, 'body pain': 0.19229118525981903, 'dizziness': 0.17346367239952087, 'poor coordination': 0.10843372344970703}"
223,after food today kelly started to feel weird sensations in her stomach and her chest,,"['weird sensations', 'kelly started to feel weird sensations in her stomach and her chest', 'kelly']","{'body pain': 0.5007773041725159, 'hiccups': 0.14162293076515198, 'dilated pupils': 0.129165381193161, 'mood change': 0.11565333604812622}"
451,"Oh today was terrible. I had slept in because we had a late night. I was shaken awake by my oldest who seemed super worried because the youngest was having the worst headache of their life. Of course I rushed to the room once I heard this and it really seemed like they were going through a particularly rough one. Given how much pain they seemed to be in, I think it's safe to say they were experiencing a truly severe headache. Luckily over time, and with some more medication and water, the severity went down and they were able to sleep it off.",headache,"['they were experiencing a truly severe headache.', 'the severity went down', 'i had slept in because we had a late night.', 'the youngest was having the worst headache of their life.', 'because we had a late night.', 'a truly severe headache.', 'the severity went down and they were able to sleep it off.', 'luckily over time, and with some more medication and water,', 'it really seemed like they were going through a particularly rough one.']","{'headache': 0.7982589602470398, 'lack of sleep': 0.5162175297737122, 'mood change': 0.36615461111068726, 'fatigue': 0.24191690981388092, 'body pain': 0.22384048998355865, 'hiccups': 0.21833200752735138}"
73,"I ate my lunch and then after this, the pain starts, and no – it is not just a headache. It feels like somebody is
drilling the inside of my brain. I can’t look at the light, hear noises, or even move my head. Sometimes the pain is so bad that I get sick. Sometimes I am fine after a few hours, sometimes it can take a few days to recover. ",headache,"['sometimes i am fine', 'sometimes i am fine after a few hours,', 'pain starts, and no – it is not just a headache.', 'lunch', 'i ate my lunch', 'it is not just a headache.', 'somebody is drilling the inside of my brain.', 'the pain starts, and no – it is not just a headache.', 'ate my lunch', 'it feels like somebody is drilling the inside of my brain.', 'headache.']","{'body pain': 0.5818812251091003, 'appetite change': 0.551612913608551, 'mood change': 0.5367265939712524, 'headache': 0.5020045638084412, 'hiccups': 0.14814342558383942, 'dilated pupils': 0.11965706944465637, 'bleeding': 0.1019214391708374}"
51,"last night I got an anxiety attack and felt like I couldn’t breathe and its just the most terrifying feeling when that happens, especially if I am alone",anxiety,"['an anxiety attack', 'anxiety attack and felt like i couldn’t breathe', 'anxiety attack']","{'anxiety': 0.6892883777618408, 'racing heart': 0.21692532300949097, 'mood change': 0.170833021402359, 'body pain': 0.13251996040344238}"
455,"Today was a little weird. Usually they get really tired or sad suddenly but today they seemed to experience headaches right before their seizures. We didn't really think much of it at first but soon realized that they were linked. We decided to look into it a little and it seems like the recent change in medication might be the reason for this. Luckily the headaches were fairly mild so it seems like an okay trade off for now but we'll continue to monitor the situation and ask the kid how they're feeling. Even if a headache sounds better from my opinion, we definitely want to make sure our kid feels as comfortable as possible, even if that means taking exhaustion over headaches.",headache,"['headaches right before their seizures.', 'they seemed to experience headaches right before their seizures.', 'headaches']","{'headache': 0.6958612203598022, 'body pain': 0.3109237849712372, 'hiccups': 0.2008192390203476}"
307,"I noticed that tom's heart rate unusually spiked pretty high last night, im not sure if it was a nightmare or something else",racing heart,"[""tom's heart rate unusually spiked pretty high last night,"", 'nightmare', ""tom's heart rate unusually spiked pretty high""]","{'racing heart': 0.9236648678779602, 'anxiety': 0.20026229321956635, 'mood change': 0.15666332840919495, 'lack of sleep': 0.1142878532409668}"
459,"What a great day! For the first time in what seems like forever, our kid was headache free! They were able to go through their day like most other kids pretty carefree. It made me so happy to see them playing with the neighborhood kids and not having to come inside early to rest. I really hope more days like this are to come and that this becomes the new normal.",headache,"['not having to come inside early to rest.', 'they were able to go through their day like most other kids pretty carefree.', 'headache free!', 'they were able to go through their day']","{'headache': 0.2486952394247055, 'mood change': 0.21271313726902008, 'lack of concentration': 0.20026087760925293, 'dilated pupils': 0.17949658632278442, 'lack of sleep': 0.15691256523132324, 'hiccups': 0.1434997022151947, 'body pain': 0.11524297297000885, 'fatigue': 0.11388374865055084}"
107,"I’ve been constipated for about 4-5 days. When I try to go, only small bits come out",,"['only small bits come out', 'small bits come out']","{'hiccups': 0.2616526186466217, 'bleeding': 0.11916029453277588, 'dilated pupils': 0.10040105134248734}"
173,eric got really stressed when I tried to take him to school today. I think he might not be getting along with the other kids well or that they make fun of him which makes me really sad,anxiety,"['eric got really stressed', 'they make fun of him', 'make fun of him which makes me really sad', 'they make fun of him which makes me really sad']","{'racing heart': 0.407228946685791, 'mood change': 0.3242441713809967, 'anxiety': 0.10638754069805145}"
327,toms has this big boil on his left leg. He keeps on trying to scratch it so I need to continuously keep an eye on him to make sure he doesn’t because otherwise its going to get infected,skin rash,"['toms has this big boil on his left leg.', 'toms', 'toms has this big boil']","{'bleeding': 0.5275255441665649, 'mood change': 0.40753012895584106, 'body pain': 0.29709121584892273, 'skin rash': 0.10985877364873886}"
76,"I had been at home from school and was feeling quite under the weather. One thing was different though; the headache I was experiencing was rather severe and prolonged but besides this I felt a tingling sensation in my left limbs
I was very independent so being left at home when I was unwell on my own wasn’t something that frightened me and I knew to always contact my guardian if things got worse.",headache,"['headache', 'one thing was different', 'i felt a tingling sensation in my left limbs', 'i was unwell on my own', 'severe and prolonged', 'the headache i was experiencing was rather severe and prolonged', 'tingling sensation in my left limbs']","{'headache': 0.7793768644332886, 'dizziness': 0.43939530849456787, 'body pain': 0.3007994294166565, 'mood change': 0.13479682803153992, 'hiccups': 0.12272945046424866, 'dilated pupils': 0.11842583864927292, 'fatigue': 0.11193621158599854}"
336,thank god charlies rash has subsided a bit today. He still has one but its not nearly as red and big as it was yesterday,skin rash,"['he still has one but its not nearly as red and big', 'charlies rash has subsided a bit today.', 'charlies rash', 'charlies']","{'skin rash': 0.48251113295555115, 'bleeding': 0.33838003873825073, 'dilated pupils': 0.30801790952682495, 'racing heart': 0.1593157798051834, 'mood change': 0.11833847314119339}"
292,"thank god my throat is better. Now I just have a mild headache, but I feel much better than yesterday",headache,"['mild headache,', 'headache,']","{'headache': 0.7577385306358337, 'body pain': 0.25755396485328674, 'hiccups': 0.1473056674003601, 'fatigue': 0.13014736771583557}"
256,charles kept on tossing last night which worried me so I stayed up to watch him,lack of sleep,"['charles kept on tossing last night', 'tossing last night', 'charles']","{'hiccups': 0.21646791696548462, 'vomiting': 0.18386518955230713, 'lack of sleep': 0.1835891604423523, 'mood change': 0.13725696504116058, 'poor coordination': 0.10781697928905487, 'dizziness': 0.10019603371620178}"
377,"I have been drinking water all day for hiccups but nothing changed, until I held my breath for a few seconds. It worked",hiccups,"['drinking water all day for hiccups', 'i held my breath for a few seconds.', 'drinking water', 'drinking water all day', 'nothing changed,', 'it worked', 'nothing changed, until i held my breath for a few seconds.']","{'hiccups': 0.5872652530670166, 'lack of concentration': 0.1803756207227707, 'cough': 0.1607893854379654, 'dilated pupils': 0.1598818153142929, 'mood change': 0.14303910732269287, 'poor coordination': 0.10962411761283875, 'anxiety': 0.10253091156482697, 'sore throat': 0.10219614207744598}"
152,My period cramps were so muhc worse than usual this month and I don’t know why. These last few days have been hard,body pain,"['cramps', 'my period cramps', 'my period cramps were so muhc worse than usual', 'period cramps', 'these last few days have been hard']","{'body pain': 0.5819080471992493, 'bleeding': 0.47519052028656006, 'hiccups': 0.3172362744808197, 'headache': 0.1631525307893753, 'mood change': 0.15859553217887878, 'congestion': 0.155989408493042}"
75,"My daughter had a migraine headache, a really bad one. She threw up from this and it made me worried","headache, vomiting","['migraine', 'migraine headache,', 'my daughter had a migraine headache,']","{'headache': 0.6593852043151855, 'body pain': 0.3991742432117462}"
339,"lily scraped her arm past a glass table earlier today and got a deep cut. It was bleeding a lot, until we were able to put ice and compress the area and finally we got her stitches. Im mentally
exhiasted right now but more so feel so bad for lilly",bleeding,"['it was bleeding a lot,', 'lily scraped her arm past a glass table', 'lily scraped her arm past a glass table earlier today', 'lilly', 'bleeding']","{'bleeding': 0.8697634339332581, 'body pain': 0.20300304889678955, 'dilated pupils': 0.19084405899047852, 'hiccups': 0.1405189484357834, 'poor coordination': 0.12751831114292145, 'mood change': 0.12237201631069183, 'lack of concentration': 0.10849995911121368}"
381,"toms had hiccups today but they seem to be more painful than usual. It seems like the hiccups are actually hurting his
chest and making it harder to breathe","hiccups, body pain","['toms had hiccups today', 'it seems like the hiccups are actually hurting his chest', 'hiccups', 'toms had hiccups', 'they seem to be more painful than usual.']","{'hiccups': 0.5461523532867432, 'cough': 0.24828676879405975, 'body pain': 0.2111509144306183, 'sore throat': 0.10488580912351608}"
210,"I woke up last night with these sharp pangs in my chest, like someone was pricking me with a needle",body pain,"['sharp pangs', 'woke up last night with these sharp pangs in my chest,', 'sharp pangs in my chest,', 'these sharp pangs in my chest,']","{'body pain': 0.5573718547821045, 'racing heart': 0.2585623264312744, 'hiccups': 0.20319968461990356, 'mood change': 0.10980504751205444}"
447,Their head was hurting a lot today. It was so bad we had to increase their usual pain medicine dosage. We don't like to do that unless we really have to but we didn't have much choice this time.,headache,"['pain medicine dosage.', ""we didn't have much choice this time."", 'their head was hurting a lot today.', 'it was so bad we had to increase their usual pain medicine dosage.']","{'headache': 0.6578306555747986, 'body pain': 0.21896013617515564, 'mood change': 0.15221773087978363, 'hiccups': 0.1427055299282074, 'poor coordination': 0.12592755258083344}"
380,lilly was really stressed earlier today and then started getting hiccups. I think her hiccups were stress related,"anxiety, hiccups","['hiccups.', 'lilly was really stressed earlier today and then started getting hiccups.', 'stress related']","{'hiccups': 0.5277928709983826, 'cough': 0.26810508966445923, 'fatigue': 0.23464633524417877, 'mood change': 0.10822425782680511, 'anxiety': 0.10373374819755554}"
171,I tried to take lianna to play with other children today but the idea made her so stressed out that she got nauseas and started vomiting so I just stopped trying,"anxiety, vomiting","['lianna', 'nauseas and started vomiting', 'she got nauseas', 'she got nauseas and started vomiting so i just stopped trying', 'she got nauseas and started vomiting', 'vomiting', 'nauseas']","{'vomiting': 0.8419581055641174, 'body pain': 0.20902013778686523, 'appetite change': 0.1526016741991043, 'mood change': 0.1445634514093399, 'hiccups': 0.13303615152835846, 'sore throat': 0.13029153645038605, 'dizziness': 0.1291787475347519, 'dilated pupils': 0.12268725037574768}"
259,lily seemed sleepy today I don’t think she slept much last night,lack of sleep,"['lily seemed sleepy', 'lily seemed sleepy today i don’t think she slept much last night', 'lily seemed sleepy today', 'sleepy', 'lily']","{'lack of sleep': 0.3973248600959778, 'dilated pupils': 0.28277361392974854, 'lack of concentration': 0.2464590072631836, 'fatigue': 0.22946487367153168, 'mood change': 0.20645573735237122}"
235,I let lily sleep at a friends house and im pretty sure she hardly slept at all,lack of sleep,"['let lily sleep at a friends house', 'pretty sure she hardly slept at all', 'hardly slept at all', 'lily', 'lily sleep at a friends house', 'she hardly slept at all', 'sleep at a friends house']","{'lack of sleep': 0.6254499554634094, 'dilated pupils': 0.28277361392974854, 'mood change': 0.18702106177806854, 'lack of concentration': 0.15107060968875885, 'fatigue': 0.11560336500406265}"
270,lauras voice is hoarse and her throat is sore,sore throat,"['lauras voice is hoarse and her throat is sore', 'her throat is sore']","{'sore throat': 0.7222296595573425, 'body pain': 0.25606411695480347}"
60,"Today.I had another migraine. I went to the doc earlier and he told me to take Aleve. After more migraine attacks, I returned to be given another medication, Maxalt, which did nothing for me After returning a third time, I was given a prescription dosage of naproxen, which is basically two doses of Aleve. It did nothing",headache,"['today.i had another migraine.', 'it did nothing', 'more migraine attacks,']","{'headache': 0.6558719873428345, 'body pain': 0.39558807015419006, 'poor coordination': 0.2448815107345581, 'lack of concentration': 0.22778759896755219, 'cough': 0.10005703568458557}"
92,She just slept through the afternoon which is a bit unusual but she really seemed like she didn’t want to do anything else and im not sure if she had the ability to actually do anything,fatigue,"['she just slept through the afternoon', 'slept through the afternoon', 'she just slept through the afternoon which is a bit unusual']","{'lack of concentration': 0.26587188243865967, 'mood change': 0.1839665323495865, 'fatigue': 0.15761832892894745, 'dilated pupils': 0.12018507719039917, 'lack of sleep': 0.11239556968212128, 'poor coordination': 0.10174760967493057}"
208,lily started to experience sharp pains in her chest this morning so I called her doctor but he didn’t think we should be worried because they went away fast,body pain,"['sharp pains', 'sharp pains in her chest', 'lily started to experience sharp pains in her chest', 'they went away fast']","{'body pain': 0.5864056944847107, 'hiccups': 0.35763898491859436, 'racing heart': 0.297492116689682, 'mood change': 0.1629924476146698}"
58,Earlier my headaches were just annoying. But today it was excruciating. I cant feel anything anymore,headache,"['my headaches were just annoying.', 'my headaches were just annoying. but today it was excruciating.', 'today it was excruciating. i cant feel anything anymore', 'headaches', 'today it was excruciating.', 'headaches were just annoying. but today it was excruciating.']","{'headache': 0.6558005213737488, 'body pain': 0.49545538425445557, 'hiccups': 0.2008192390203476, 'mood change': 0.10604341328144073}"
202,lily had pangs in her chest earlier today. Its hard to describe them but it seemed like sharp pangs that came in went in the right side of her chest,body pain,"['pangs', 'sharp pangs', 'lily had pangs', 'lily had pangs in her chest', 'lily had pangs in her chest earlier today.', 'lily']","{'body pain': 0.4981505274772644, 'dilated pupils': 0.28277361392974854, 'hiccups': 0.21097184717655182, 'mood change': 0.18702106177806854, 'racing heart': 0.1497945338487625, 'appetite change': 0.10766346752643585}"
288,"this morning I woke up with a sore throat, im not sure what could have caused it",sore throat,"['sore throat,', 'this morning i woke up with a sore throat,', 'a sore throat,']","{'sore throat': 0.6433978080749512, 'body pain': 0.35394152998924255}"
